release_month,release_quarter,content_type,n_titles,total_hours,total_views,avg_hours
Jan,Q1,Movie,425,2451600000,1363400000,5768470.588235294
Jan,Q1,TV Show,1147,12446600000,2201300000,10851438.53530952
Feb,Q1,Movie,478,2559700000,1541000000,5355020.92050211
Feb,Q1,TV Show,925,11856900000,1827900000,12818270.270270213
Mar,Q1,Movie,499,3319400000,1865400000,6652104.208416846
Mar,Q1,TV Show,1178,13354100000,2263700000,11336247.877758864
Apr,Q2,Movie,562,2814000000,1597000000,5007117.437722402
Apr,Q2,TV Show,1053,10422700000,1859900000,9898100.664767368
May,Q2,Movie,508,2738000000,1590100000,5389763.779527571
May,Q2,TV Show,1075,12245200000,2256800000,11390883.720930202
Jun,Q2,Movie,542,3383300000,1989700000,6242250.922509216
Jun,Q2,TV Show,1102,13180200000,1884400000,11960254.083484553
Jul,Q3,Movie,533,3239800000,1824000000,6078424.01500938
Jul,Q3,TV Show,1062,11547400000,1772100000,10873258.003766442
Aug,Q3,Movie,544,3330800000,1938400000,6122794.117647065
Aug,Q3,TV Show,1114,12428900000,2014000000,11157001.7953321
Sep,Q3,Movie,622,3459400000,2004600000,5561736.33440515
Sep,Q3,TV Show,1271,13227000000,2260000000,10406766.325727783
Oct,Q4,Movie,650,3390300000,2054300000,5215846.1538461605
Oct,Q4,TV Show,1339,13761200000,2215000000,10277221.807318876
Nov,Q4,Movie,719,4433700000,2572000000,6166481.223922108
Nov,Q4,TV Show,1231,13197900000,2317900000,10721283.509342024
Dec,Q4,Movie,643,3919200000,2145400000,6095178.849144641
Dec,Q4,TV Show,1273,15236900000,2455100000,11969285.153181404
NA,QNA,Movie,29396,61735900000,34323400000,2101003.9477265812
NA,QNA,TV Show,14033,119648100000,13996000000,8533492.618215507
