title,content_type,global,release_date,release_month,release_quarter,runtime_minutes,hours_viewed,views
Squid Game: Season 2 // 오징어 게임: 시즌 2,TV Show,Global,2024-12-26,Dec,Q4,430,840300000,117300000
Bridgerton: Season 3,TV Show,Global,2024-05-16,May,Q2,479,733800000,91900000
Fool Me Once: Limited Series,TV Show,Global,2024-01-01,Jan,Q1,385,689500000,107500000
Queen of Tears: Limited Series // 눈물의 여왕: 리미티드 시리즈,TV Show,Global,2024-03-09,Mar,Q1,1402,682600000,29200000
King the Land: Limited Series // 킹더랜드: 리미티드 시리즈,TV Show,Global,2023-06-17,Jun,Q2,1140,630200000,33200000
Squid Game: Season 2 // 오징어 게임: 시즌 2,TV Show,Global,2024-12-26,Dec,Q4,430,619900000,86500000
When Life Gives You Tangerines: Limited Series // 폭싹 속았수다: 리미티드 시리즈,TV Show,Global,2025-03-07,Mar,Q1,995,577000000,34800000
Adolescence: Limited Series,TV Show,Global,2025-03-13,Mar,Q1,230,555100000,144800000
Monsters: The Lyle and Erik Menendez Story,TV Show,Global,2024-09-19,Sep,Q3,474,550400000,69700000
ONE PIECE: Season 1,TV Show,Global,2023-08-31,Aug,Q3,454,541900000,71600000
Avatar The Last Airbender: Season 1,TV Show,Global,2024-02-22,Feb,Q1,435,515300000,71100000
Prison Break: Season 1,TV Show,Non-Global,NA,NA,QNA,961,511300000,31900000
Ginny & Georgia: Season 3,TV Show,Global,2025-06-05,Jun,Q2,634,508200000,48100000
The Gentlemen: Season 1,TV Show,Global,2024-03-07,Mar,Q1,401,507300000,75900000
The Night Agent: Season 2,TV Show,Global,2025-01-23,Jan,Q1,516,457800000,53200000
Squid Game: Season 3 // 오징어 게임: 시즌 3,TV Show,Global,2025-06-27,Jun,Q2,368,438600000,71500000
Love Next Door: Limited Series // 엄마친구아들: 리미티드 시리즈,TV Show,Global,2024-08-17,Aug,Q3,1275,432200000,20300000
3 Body Problem: Season 1,TV Show,Global,2024-03-21,Mar,Q1,444,388100000,52400000
Until You Burn: Season 1 // Escupiré sobre sus tumbas: Temporada 1,TV Show,Global,2025-02-19,Feb,Q1,2855,383400000,8100000
The Perfect Couple: Season 1,TV Show,Global,2024-09-05,Sep,Q3,306,383100000,75100000
Griselda: Limited Series,TV Show,Global,2024-01-25,Jan,Q1,332,383000000,69200000
Prison Break: Season 2,TV Show,Non-Global,NA,NA,QNA,962,381900000,23800000
Sex Education: Season 4,TV Show,Global,2023-09-21,Sep,Q3,486,374700000,46300000
The Witcher: Season 3,TV Show,Global,2023-06-29,Jun,Q2,456,363800000,47900000
Squid Game: Season 1 // 오징어 게임: 시즌 1,TV Show,Global,2021-09-17,Sep,Q3,499,348900000,42000000
Baby Reindeer: Limited Series,TV Show,Global,2024-04-11,Apr,Q2,238,347600000,87600000
Emily in Paris: Season 4,TV Show,Global,2024-08-15,Aug,Q3,357,344100000,57800000
Virgin River: Season 5,TV Show,Global,2023-09-07,Sep,Q3,556,331400000,35800000
Outer Banks: Season 4,TV Show,Global,2024-10-10,Oct,Q4,538,320500000,35700000
Berlin: Season 1 // Berlín: Temporada 1,TV Show,Global,2023-12-29,Dec,Q4,394,318400000,48500000
Zero Day: Limited Series,TV Show,Global,2025-02-20,Feb,Q1,309,315800000,61300000
Bridgerton: Season 1,TV Show,Global,2020-12-25,Dec,Q4,492,314500000,38400000
Back in Action,Movie,Global,2025-01-17,Jan,Q1,114,313000000,164700000
My Demon: Limited Series // 마이 데몬: 리미티드 시리즈,TV Show,Global,2023-11-24,Nov,Q4,1055,311200000,17700000
Prison Break: Season 4,TV Show,Non-Global,NA,NA,QNA,1054,309000000,17600000
You: Season 5,TV Show,Global,2025-04-24,Apr,Q2,507,308700000,36500000
The Accident: Season 1 // Accidente: Temporada 1,TV Show,Global,2024-08-21,Aug,Q3,442,303200000,41200000
Love Is Blind: Season 6,TV Show,Non-Global,2024-02-14,Feb,Q1,859,299300000,20900000
True Beauty: Limited Series // 여신강림: 리미티드 시리즈,TV Show,Non-Global,NA,NA,QNA,1201,293500000,14700000
Lost: Season 1,TV Show,Non-Global,NA,NA,QNA,1071,292500000,16400000
The Lincoln Lawyer: Season 2,TV Show,Global,2023-07-06,Jul,Q3,491,292300000,35700000
Bridgerton: Season 2,TV Show,Global,2022-03-25,Mar,Q1,510,290900000,34200000
Miss Adrenaline: A Tale of Twins: Season 1 // Romina poderosa: Season 1,TV Show,Global,2023-08-30,Aug,Q3,2991,287000000,5800000
Leave the World Behind,Movie,Global,2023-12-08,Dec,Q4,142,286300000,121000000
Who is Erin Carter?: Limited Series,TV Show,Global,2023-08-24,Aug,Q3,343,286200000,50100000
Desperate Lies: Season 1 // Pedaço de Mim: Temporada 1,TV Show,Global,2024-07-05,Jul,Q3,813,285700000,21100000
Rebel Ridge,Movie,Global,2024-09-06,Sep,Q3,132,283700000,129000000
The Lincoln Lawyer: Season 3,TV Show,Global,2024-10-17,Oct,Q4,511,276800000,32500000
Carry-On,Movie,Global,2024-12-13,Dec,Q4,120,274500000,137300000
Lupin: Part 3,TV Show,Global,2023-10-05,Oct,Q4,331,274300000,49700000
